,sample
0,TCGA.OR.A5J1.01
1,TCGA.OR.A5J2.01
2,TCGA.OR.A5J3.01
3,TCGA.OR.A5J5.01
4,TCGA.OR.A5J6.01
5,TCGA.OR.A5J7.01
6,TCGA.OR.A5J8.01
7,TCGA.OR.A5J9.01
8,TCGA.OR.A5JA.01
9,TCGA.OR.A5JB.01
10,TCGA.OR.A5JC.01
11,TCGA.OR.A5JD.01
12,TCGA.OR.A5JE.01
13,TCGA.OR.A5JF.01
14,TCGA.OR.A5JG.01
15,TCGA.OR.A5JI.01
16,TCGA.OR.A5JJ.01
17,TCGA.OR.A5JK.01
18,TCGA.OR.A5JL.01
19,TCGA.OR.A5JM.01
20,TCGA.OR.A5JO.01
21,TCGA.OR.A5JP.01
22,TCGA.OR.A5JQ.01
23,TCGA.OR.A5JR.01
24,TCGA.OR.A5JS.01
25,TCGA.OR.A5JT.01
26,TCGA.OR.A5JV.01
27,TCGA.OR.A5JW.01
28,TCGA.OR.A5JX.01
29,TCGA.OR.A5JY.01
30,TCGA.OR.A5JZ.01
31,TCGA.OR.A5K0.01
32,TCGA.OR.A5K1.01
33,TCGA.OR.A5K2.01
34,TCGA.OR.A5K3.01
35,TCGA.OR.A5K4.01
36,TCGA.OR.A5K5.01
37,TCGA.OR.A5K6.01
38,TCGA.OR.A5K8.01
39,TCGA.OR.A5K9.01
40,TCGA.OR.A5KO.01
41,TCGA.OR.A5KT.01
42,TCGA.OR.A5KU.01
43,TCGA.OR.A5KV.01
44,TCGA.OR.A5KW.01
45,TCGA.OR.A5KX.01
46,TCGA.OR.A5KY.01
47,TCGA.OR.A5KZ.01
48,TCGA.OR.A5L3.01
49,TCGA.OR.A5L4.01
50,TCGA.OR.A5L5.01
51,TCGA.OR.A5L6.01
52,TCGA.OR.A5L8.01
53,TCGA.OR.A5L9.01
54,TCGA.OR.A5LA.01
55,TCGA.OR.A5LB.01
56,TCGA.OR.A5LC.01
57,TCGA.OR.A5LD.01
58,TCGA.OR.A5LE.01
59,TCGA.OR.A5LG.01
60,TCGA.OR.A5LH.01
61,TCGA.OR.A5LJ.01
62,TCGA.OR.A5LK.01
63,TCGA.OR.A5LL.01
64,TCGA.OR.A5LM.01
65,TCGA.OR.A5LN.01
66,TCGA.OR.A5LO.01
67,TCGA.OR.A5LP.01
68,TCGA.OR.A5LR.01
69,TCGA.OR.A5LS.01
70,TCGA.OR.A5LT.01
71,TCGA.OU.A5PI.01
72,TCGA.P6.A5OG.01
73,TCGA.PA.A5YG.01
74,TCGA.PK.A5H9.01
75,TCGA.PK.A5HA.01
76,TCGA.PK.A5HB.01
77,TCGA.OR.A5J1.01.1
78,TCGA.OR.A5J2.01.1
79,TCGA.OR.A5J3.01.1
80,TCGA.OR.A5J5.01.1
81,TCGA.OR.A5J6.01.1
82,TCGA.OR.A5J7.01.1
83,TCGA.OR.A5J8.01.1
84,TCGA.OR.A5J9.01.1
85,TCGA.OR.A5JA.01.1
86,TCGA.OR.A5JB.01.1
87,TCGA.OR.A5JC.01.1
88,TCGA.OR.A5JD.01.1
89,TCGA.OR.A5JE.01.1
90,TCGA.OR.A5JF.01.1
91,TCGA.OR.A5JG.01.1
92,TCGA.OR.A5JI.01.1
93,TCGA.OR.A5JJ.01.1
94,TCGA.OR.A5JK.01.1
95,TCGA.OR.A5JL.01.1
96,TCGA.OR.A5JM.01.1
97,TCGA.OR.A5JO.01.1
98,TCGA.OR.A5JP.01.1
99,TCGA.OR.A5JQ.01.1
100,TCGA.OR.A5JR.01.1
101,TCGA.OR.A5JS.01.1
102,TCGA.OR.A5JT.01.1
103,TCGA.OR.A5JV.01.1
104,TCGA.OR.A5JW.01.1
105,TCGA.OR.A5JX.01.1
106,TCGA.OR.A5JY.01.1
107,TCGA.OR.A5JZ.01.1
108,TCGA.OR.A5K0.01.1
109,TCGA.OR.A5K1.01.1
110,TCGA.OR.A5K2.01.1
111,TCGA.OR.A5K3.01.1
112,TCGA.OR.A5K4.01.1
113,TCGA.OR.A5K5.01.1
114,TCGA.OR.A5K6.01.1
115,TCGA.OR.A5K8.01.1
116,TCGA.OR.A5K9.01.1
117,TCGA.OR.A5KO.01.1
118,TCGA.OR.A5KT.01.1
119,TCGA.OR.A5KU.01.1
120,TCGA.OR.A5KV.01.1
121,TCGA.OR.A5KW.01.1
122,TCGA.OR.A5KX.01.1
123,TCGA.OR.A5KY.01.1
124,TCGA.OR.A5KZ.01.1
125,TCGA.OR.A5L3.01.1
126,TCGA.OR.A5L4.01.1
127,TCGA.OR.A5L5.01.1
128,TCGA.OR.A5L6.01.1
129,TCGA.OR.A5L8.01.1
130,TCGA.OR.A5L9.01.1
131,TCGA.OR.A5LA.01.1
132,TCGA.OR.A5LB.01.1
133,TCGA.OR.A5LC.01.1
134,TCGA.OR.A5LD.01.1
135,TCGA.OR.A5LE.01.1
136,TCGA.OR.A5LG.01.1
137,TCGA.OR.A5LH.01.1
138,TCGA.OR.A5LJ.01.1
139,TCGA.OR.A5LK.01.1
140,TCGA.OR.A5LL.01.1
141,TCGA.OR.A5LM.01.1
142,TCGA.OR.A5LN.01.1
143,TCGA.OR.A5LO.01.1
144,TCGA.OR.A5LP.01.1
145,TCGA.OR.A5LR.01.1
146,TCGA.OR.A5LS.01.1
147,TCGA.OR.A5LT.01.1
148,TCGA.OU.A5PI.01.1
149,TCGA.P6.A5OG.01.1
150,TCGA.PA.A5YG.01.1
151,TCGA.PK.A5H9.01.1
152,TCGA.PK.A5HA.01.1
153,TCGA.PK.A5HB.01.1
154,TCGA.OR.A5LD.01.2
155,TCGA.OR.A5LE.01.2
156,TCGA.OR.A5LG.01.2
157,TCGA.OR.A5LH.01.2
158,TCGA.OR.A5LJ.01.2
159,TCGA.OR.A5LK.01.2
160,TCGA.OR.A5LL.01.2
161,TCGA.OR.A5LM.01.2
162,TCGA.OR.A5LN.01.2
163,TCGA.OR.A5LO.01.2
164,TCGA.OR.A5LP.01.2
165,TCGA.OR.A5LR.01.2
166,TCGA.OR.A5LS.01.2
167,TCGA.OR.A5LT.01.2
168,TCGA.OU.A5PI.01.2
169,TCGA.P6.A5OG.01.2
170,TCGA.PA.A5YG.01.2
171,TCGA.PK.A5H9.01.2
172,TCGA.PK.A5HA.01.2
173,TCGA.PK.A5HB.01.2
174,TCGA.OR.A5LS.01.3
175,TCGA.OR.A5LT.01.3
176,TCGA.OU.A5PI.01.3
